Ingredients,TAG,DATA,속성,DATA 속성,DATA 세부속성
Allspice,Matching,grains,SPICE,,
Allspice,Matching,ham,SPICE,,
Allspice,Matching,"herring, picked",SPICE,,
Allspice,Matching,indian cuisine,SPICE,,
Allspice,Matching,"JAMAICAN CUISINE(e.g., jerk dishes)",SPICE,,
Allspice,Matching,ketchup,SPICE,,
Allspice,Matching,lamb,SPICE,,
Allspice,Matching,mace,SPICE,,
Allspice,Matching,"MEATS,red. esp. braised, grilled, or roasted",SPICE,meat,
Allspice,Matching,Mexican cuisine,SPICE,,
Allspice,Matching,Middle Eastrn cuisine,SPICE,,
Allspice,Matching,mushrooms,SPICE,,
Allspice,Matching,mustard,SPICE,,
Allspice,Matching,North American cuisine,SPICE,,
Allspice,Matching,nutmeg,SPICE,,
Allspice,Matching,nuts,SPICE,,
Allspice,Matching,onions,SPICE,,
Allspice,Matching,"pepper, black",SPICE,,
Allspice,Matching,pies,SPICE,,
Allspice,Matching,pineapple,SPICE,,
Allspice,Matching,pork,SPICE,,
Allspice,Matching,PUMPKIN,SPICE,,
Allspice,Matching,rabbit,SPICE,,
Allspice,Matching,rice,SPICE,,
Allspice,Matching,rosemary,SPICE,,
Allspice,Matching,salsas and sauces,SPICE,,
Allspice,Matching,sauerkraut,SPICE,,
Allspice,Matching,sausages,SPICE,,
Allspice,Matching,soups,SPICE,,
Allspice,Matching,spiced cakes,SPICE,,
Allspice,Matching,spinach,SPICE,,
Allspice,Matching,"squash, winter",SPICE,,
Allspice,Matching,stews,SPICE,,
Allspice,Matching,"stockes and broths, chicken",SPICE,,
Allspice,Matching,sweet potatoes,SPICE,,
Allspice,Matching,thyme,SPICE,,
Allspice,Matching,tomatoes,SPICE,,
Allspice,Matching,turnips,SPICE,,
Allspice,Matching,"vegetables, esp.root",SPICE,,
Allspice,Matching,West Indies cuisine,SPICE,,
Allspice,Flavor Affinities,allspice + beef + onions,SPICE,,
Allspice,Flavor Affinities,allspice + garlic + pork,SPICE,,
Allspice,Coment,"In Jamaica, allspice is their pepper. It’s fruitier than black peppercorns. I think it’s especially nice with braised and roasted meats. — BRADFORD THOMPSON, MARY ELAINE'S AT THE PHOENICIAN (SCOTTSDALE. ARIZONA)",SPICE,,
"Almond Oil(See Oil, Almond)",NON,,Oil,,
Almonds,Taste,sweet,,,
Almonds,Botanical Relatives,peaches,,,
Almonds,Weight,warming,,,
Almonds,Volume,medium,,,
Almonds,Matching,quiet,,,
Almonds,Matching,amaretto,,,
Almonds,Matching,"anise,esp.green",,,
Almonds,Matching,apples,,,
Almonds,Matching,apricots,,,
Almonds,Matching,beans,,,
Almonds,Matching,blackberries,,,
Almonds,Matching,blrandy,,,
Almonds,Matching,"BUTTER, UNSALTED",,,
Almonds,Matching,butterschotch,,,
Almonds,Matching,caramel,,,
Almonds,Matching,cardamon,,,
Almonds,Matching,cayenne,,,
Almonds,Matching,"cheese: goat, manchego, ricotta",,Cheese,Cheese
Almonds,Matching,"cherries, esp. sour",,,
Almonds,Matching,chicken,,,
Almonds,Matching,"CHOCOLATE: DARK, MILK",,,
Almonds,Matching,"chocolate, white",,,
Almonds,Matching,cinnamon,,,
Almonds,Matching,coconut,,,
Almonds,Matching,coffee,,,
Almonds,Matching,cornmeal,,,
Almonds,Matching,corn syrup,,,
Almonds,Matching,crab,,,
Almonds,Matching,cranberries,,,
Almonds,Matching,CREAM,,,
Almonds,Matching,cream cheese,,Cheese,Cheese
Almonds,Matching,creme fraiche,,,
Almonds,Matching,"crust: pastry, pie",,,
Almonds,Matching,currants,,,
Almonds,Matching,figs,,,
Almonds,Matching,fish,,,
Almonds,Matching,French pastries,,,
Almonds,Matching,"fruits, most",,,
Almonds,Matching,garlic,,,
Almonds,Matching,grapes,,,
Almonds,Matching,Greek cuisine,,,
Almonds,Matching,"greens, salad",,,
Almonds,Matching,hazelnuts,,,
Almonds,Matching,HONEY,,,
Almonds,Matching,ice cream,,,
Almonds,Matching,Indian cuisine,,,
Almonds,Matching,Italian sauces,,,
Almonds,Matching,lamb,,,
Almonds,Matching,lavender,,,
Almonds,Matching,"lemon: juice, zest",,Citrus,
Almonds,Matching,"liqueurs, fruit (including orange)",,ALCOCHOL,LIQUEURS
Almonds,Matching,mascarpone,,,
Almonds,Matching,Mediterranean cuisine,,,
Almonds,Matching,Mexican beverages and mole,,,
Almonds,Matching,sauces,,,
Almonds,Matching,"milk, sweetened condensed",,,
Almonds,Matching,molasses,,,
Almonds,Matching,Moroccan cuisine,,,
Almonds,Matching,nectarines,,,
Almonds,Matching,oats,,,
Almonds,Matching,olive oil,,oil,Olive oil
Almonds,Matching,olives,,,
Almonds,Matching,"orange: juice, zest",,Citrus,ORANGE
Almonds,Matching,paprika,,,
Almonds,Matching,passion fruit,,,
Almonds,Matching,peaches,,,
Almonds,Matching,pears,,,
Almonds,Matching,pecans,,,
Almonds,Matching,"pepper, ground",,,
Almonds,Matching,pine nuts,,,
Almonds,Matching,plums,,,
Almonds,Matching,praline,,,
Almonds,Matching,prunes,,,
Almonds,Matching,quince,,,
Almonds,Matching,"raisins, esp. white",,,
Almonds,Matching,raspberries,,,
Almonds,Matching,rhubarb,,,
Almonds,Matching,rice,,,
Almonds,Matching,rosemary,,,
Almonds,Matching,rum,,Alcohol,RUM
Almonds,Matching,"salt: kosher, sea",,,
Almonds,Matching,shellfish,,,
Almonds,Matching,sherry,,,
Almonds,Matching,"Spanish cuisine, esp. sauces",,,
Almonds,Matching,strawberries,,,
Almonds,Matching,"sugar, brown, white",,,
Almonds,Matching,tea,,,
Almonds,Matching,Turkish cuisine,,,
Almonds,Matching,VANILLA,,,
Almonds,Matching,walnuts,,,
Almonds,Flavor Affinities,almonds + chocolate + coconut,,,
Almonds,Flavor Affinities,almonds + coffee + orange,,Citrus,ORANGE
Almonds,Flavor Affinities,almonds + green anise + figs,,,
Almonds,Flavor Affinities,almonds + honey + orange zest + raisins,,Citrus,ORANGE
Almonds,Coment,"Almonds are fairly versatile in that their flavor is not very specific. When they are manufactured, then they have a distinct flavor think of Frangelico, almond oil, or marzipan in dessert. In these cases, the almond has a very distinct flavor. — MARCEL DESAULNIERS, THE TRELLIS (WILLIAMSBURG. VIRGINIA)",,,
Almonds,Coment,"Ifyou have some beautiful almonds, there are so many things you can do. You can grind them and make a frangipane and put it in puff pastry. You can put them into biscotti, a cake, or almond ice cream. — EMILY LUCHETTI, FARALLON (SAN FRANCISCO)",,,
AMARETTO (sweet almond liqueur),Matching,almonds,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,apricots,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,butter,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,cherries,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,chocolate,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,coffee,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,cream,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,hazelnuts,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,Italian cuisine,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,peaches,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,pork,ALCOCHOL,,
AMARETTO (sweet almond liqueur),Matching,sugar,ALCOCHOL,,
ANCHOVIES,Taste,salty,,,
ANCHOVIES,Weight,fight,,,
ANCHOVIES,Volume,loud,,,
ANCHOVIES,Matching,almonds,,,
ANCHOVIES,Matching,basil,,,
ANCHOVIES,Matching,"beans, green",,,
ANCHOVIES,Matching,"bell peppers, esp. roasted",,,
ANCHOVIES,Matching,capers,,,
ANCHOVIES,Matching,carrots,,,
ANCHOVIES,Matching,cauliflower,,,
ANCHOVIES,Matching,celery,,,
ANCHOVIES,Matching,"cheese: manchego, mozzarella, Parmesan",,Cheese,Cheese
ANCHOVIES,Matching,chives,,,
ANCHOVIES,Matching,"eggs, hard-boiled",,,
ANCHOVIES,Matching,fennel,,,
ANCHOVIES,Matching,"eggs, hard-boiled",,,
ANCHOVIES,Matching,fennel,,,
ANCHOVIES,Matching,"eggs, hard-boiled",,,
ANCHOVIES,Matching,fennel,,,
ANCHOVIES,Matching,GARLIC,,,
ANCHOVIES,Matching,"lemon, juice",,Citrus,
ANCHOVIES,Matching,lobster,,,
ANCHOVIES,Matching,mayonnaise,,,
ANCHOVIES,Matching,Mediterranean cuisine,,,
ANCHOVIES,Matching,"mustard (e.g., Dijon)",,,
ANCHOVIES,Matching,nectarines,,,
ANCHOVIES,Matching,OLIVE OIL,,oil,Olive oil
ANCHOVIES,Matching,"olives (e.g., black, green, ni^oise)",,,
ANCHOVIES,Matching,onions,,,
ANCHOVIES,Matching,"orange, zest",,Citrus,ORANGE
ANCHOVIES,Matching,"parsley, flat-leaf",,,
ANCHOVIES,Matching,pasta,,,
ANCHOVIES,Matching,"pepper: black, white",,,
ANCHOVIES,Matching,"peppers, piquillo",,,
ANCHOVIES,Matching,pizza,,,
ANCHOVIES,Matching,potatoes,,,
ANCHOVIES,Matching,puttanesca sauce (key ingredient),,,
ANCHOVIES,Matching,red pepper flakes,,,
ANCHOVIES,Matching,romaine lettuce,,,
ANCHOVIES,Matching,rosemary,,,
ANCHOVIES,Matching,"salads, esp. Caesar (key",,,
ANCHOVIES,Matching,ingredient),,,
ANCHOVIES,Matching,salmon,,,
ANCHOVIES,Matching,"salt: kosher, sea",,,
ANCHOVIES,Matching,shallots,,,
ANCHOVIES,Matching,"sherry, PX",,,
ANCHOVIES,Matching,tapenade (key ingredient),,,
ANCHOVIES,Matching,thyme,,,
ANCHOVIES,Matching,tomatoes,,,
ANCHOVIES,Matching,tuna,,,
ANCHOVIES,Matching,"vinegar champagne, red wine, sherry",,Vinegar,Vinegar
ANCHOVIES,Flavor Affinities,anchovies + lemon + olive oil +rosemary,,Citrus,
ANCHOVIES,Coment,"No country in the world has anchovies like Spain. They are sophisticated, and the ones from the north of Spain are best because they are bigger. Spanish anchovies are not salty, either. Once you eat one, your life changes forever! I pay a lot for my anchovies — up to seventy-five cents per fillet — and will have to charge $9 for a plate. My customers will say that is too much to pay, and I agree — but ifyou don’t pay, you don’t taste. Lately, I have been combining anchovies with nectarines, which I love. I will make a vinaigrette with Pedro Ximenez [i.e., PX sherry], sherry vinegar, and olive oil and it is the perfect dressing — and unique. — JOSE ANDRES, CAFfz ATLANTICO (WASHINGTON, DC)",,,
ANGELICA,Taste,"bitter, sweet",,,
ANGELICA,Volume,loud,,,
ANGELICA,Tips,Add late in cooking; use in baking.,,,
ANGELICA,Tips,"Use to balance high-acid fruit, to reduce the need for sweeteners.",,,
ANGELICA,Matching,almonds,,,
ANGELICA,Matching,anise,,,
ANGELICA,Matching,almonds,,,
ANGELICA,Matching,anise,,,
ANGELICA,Matching,apricots,,,
ANGELICA,Matching,candy,,,
ANGELICA,Matching,cream and ice cream,,,
ANGELICA,Matching,custards,,,
ANGELICA,Matching,desserts,,,
ANGELICA,Matching,fish,,,
ANGELICA,Matching,fruits,,,
ANGELICA,Matching,"ginger fresh, candied",,,
ANGELICA,Matching,hazelnuts,,,
ANGELICA,Matching,juniper berries,,,
ANGELICA,Matching,lavender,,,
ANGELICA,Matching,lemon balm,,Citrus,
ANGELICA,Matching,liqueurs,,ALCOCHOL,LIQUEURS
ANGELICA,Matching,mushrooms,,,
ANGELICA,Matching,nutmeg,,,
ANGELICA,Matching,oranges,,Citrus,ORANGE
ANGELICA,Matching,"pepper, black",,,
ANGELICA,Matching,plums,,,
ANGELICA,Matching,*RHUBARB,,,
ANGELICA,Matching,salads,,,
ANGELICA,Matching,shellfish,,,
ANGELICA,Matching,strawberries,,,
ANGELICA,Flavor Affinities,angelica + cream + rhubarb,,,
"ANISE (See also Anise, Star, and Fennel)",Function,warming,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Weight,light-medium,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Volume,moderate-loud,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Tips,Add early in cooking.,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,allspice,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,almonds,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,apples,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,"baked goods, esp. cakes, cookies",SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,beets,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,"breads, esp. rye",SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cabbage,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cakes,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cardamom,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,carrots,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cauliflower,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,"cheese, esp. goat and ricotta",SPICE,Cheese,Cheese
"ANISE (See also Anise, Star, and Fennel)",Matching,chestnuts,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Chinese cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cinnamon,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cloves,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,coffee,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cookies,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,crab,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cream,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,cumin,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,dates,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,desserts,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,duck,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,fennel seeds,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,figs,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,FISH,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,fruit,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,garlic,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,ginger,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,hazelnuts,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,lemon,,Citrus,
"ANISE (See also Anise, Star, and Fennel)",Matching,lentils,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,mayonnaise,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Mediterranean cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,melon,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Middle Eastern cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,mole sauce,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Moroccan cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,mussels,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,nutmeg,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,nuts,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,orange,,Citrus,ORANGE
"ANISE (See also Anise, Star, and Fennel)",Matching,parsnips,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,peaches,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,pears,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,pepper,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,pickles,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,pineapple,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,plums,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,pork,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Portuguese cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Provencal cuisine (French),SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,prunes,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,pumpkin,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,quince,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,raisins,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,rhubarb,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,salumi,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,sauerkraut,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Scandinavian cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,shellfish,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,"soups, esp. fish",SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,star anise,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,"STEWS, ESP. FISH",SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,strawberries,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,sugar,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,sweet potatoes,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,tea,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,vanilla,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,"vegetables, root",SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,Vietnamese cuisine,SPICE,,
"ANISE (See also Anise, Star, and Fennel)",Matching,walnuts,SPICE,,
