Ingredients,DATA
Almonds,VANILLA
Almonds,walnuts
AMARETTO (sweet almond liqueur),almonds
AMARETTO (sweet almond liqueur),apricots
AMARETTO (sweet almond liqueur),butter
AMARETTO (sweet almond liqueur),cherries
AMARETTO (sweet almond liqueur),chocolate
AMARETTO (sweet almond liqueur),coffee
AMARETTO (sweet almond liqueur),cream
AMARETTO (sweet almond liqueur),hazelnuts
AMARETTO (sweet almond liqueur),Italian cuisine
AMARETTO (sweet almond liqueur),peaches
AMARETTO (sweet almond liqueur),pork
AMARETTO (sweet almond liqueur),sugar
ANCHOVIES,almonds
ANCHOVIES,basil
ANCHOVIES,"beans, green"
ANCHOVIES,"bell peppers, esp. roasted"
ANCHOVIES,capers
ANCHOVIES,carrots
ANCHOVIES,cauliflower
ANCHOVIES,celery
ANCHOVIES,"cheese: manchego, mozzarella, Parmesan"
ANCHOVIES,chives
ANCHOVIES,"eggs, hard-boiled"
ANCHOVIES,fennel
ANCHOVIES,"eggs, hard-boiled"
ANCHOVIES,fennel
ANCHOVIES,"eggs, hard-boiled"
ANCHOVIES,fennel
ANCHOVIES,GARLIC
ANCHOVIES,"lemon, juice"
ANCHOVIES,lobster
ANCHOVIES,mayonnaise
ANCHOVIES,Mediterranean cuisine
ANCHOVIES,"mustard (e.g., Dijon)"
ANCHOVIES,nectarines
ANCHOVIES,OLIVE OIL
ANCHOVIES,"olives (e.g., black, green, ni^oise)"
ANCHOVIES,onions
ANCHOVIES,"orange, zest"
ANCHOVIES,"parsley, flat-leaf"
ANCHOVIES,pasta
ANCHOVIES,"pepper: black, white"
ANCHOVIES,"peppers, piquillo"
ANCHOVIES,pizza
ANCHOVIES,potatoes
ANCHOVIES,puttanesca sauce (key ingredient)
ANCHOVIES,red pepper flakes
ANCHOVIES,romaine lettuce
ANCHOVIES,rosemary
ANCHOVIES,"salads, esp. Caesar (key"
ANCHOVIES,ingredient)
ANCHOVIES,salmon
ANCHOVIES,"salt: kosher, sea"
ANCHOVIES,shallots
ANCHOVIES,"sherry, PX"
ANCHOVIES,tapenade (key ingredient)
ANCHOVIES,thyme
ANCHOVIES,tomatoes
ANCHOVIES,tuna
ANCHOVIES,"vinegar champagne, red wine, sherry"
ANGELICA,almonds
ANGELICA,anise
ANGELICA,almonds
ANGELICA,anise
ANGELICA,apricots
ANGELICA,candy
ANGELICA,cream and ice cream
ANGELICA,custards
ANGELICA,desserts
ANGELICA,fish
ANGELICA,fruits
ANGELICA,"ginger fresh, candied"
ANGELICA,hazelnuts
ANGELICA,juniper berries
ANGELICA,lavender
ANGELICA,lemon balm
ANGELICA,liqueurs
ANGELICA,mushrooms
ANGELICA,nutmeg
ANGELICA,oranges
ANGELICA,"pepper, black"
ANGELICA,plums
ANGELICA,*RHUBARB
ANGELICA,salads
ANGELICA,shellfish
ANGELICA,strawberries
"ANISE (See also Anise, Star, and Fennel)",allspice
"ANISE (See also Anise, Star, and Fennel)",almonds
"ANISE (See also Anise, Star, and Fennel)",apples
"ANISE (See also Anise, Star, and Fennel)","baked goods, esp. cakes, cookies"
"ANISE (See also Anise, Star, and Fennel)",beets
"ANISE (See also Anise, Star, and Fennel)","breads, esp. rye"
"ANISE (See also Anise, Star, and Fennel)",cabbage
"ANISE (See also Anise, Star, and Fennel)",cakes
"ANISE (See also Anise, Star, and Fennel)",cardamom
"ANISE (See also Anise, Star, and Fennel)",carrots
"ANISE (See also Anise, Star, and Fennel)",cauliflower
"ANISE (See also Anise, Star, and Fennel)","cheese, esp. goat and ricotta"
"ANISE (See also Anise, Star, and Fennel)",chestnuts
"ANISE (See also Anise, Star, and Fennel)",Chinese cuisine
"ANISE (See also Anise, Star, and Fennel)",cinnamon
"ANISE (See also Anise, Star, and Fennel)",cloves
"ANISE (See also Anise, Star, and Fennel)",coffee
"ANISE (See also Anise, Star, and Fennel)",cookies
"ANISE (See also Anise, Star, and Fennel)",crab
"ANISE (See also Anise, Star, and Fennel)",cream
"ANISE (See also Anise, Star, and Fennel)",cumin
"ANISE (See also Anise, Star, and Fennel)",dates
"ANISE (See also Anise, Star, and Fennel)",desserts
"ANISE (See also Anise, Star, and Fennel)",duck
"ANISE (See also Anise, Star, and Fennel)",fennel seeds
"ANISE (See also Anise, Star, and Fennel)",figs
"ANISE (See also Anise, Star, and Fennel)",FISH
"ANISE (See also Anise, Star, and Fennel)",fruit
"ANISE (See also Anise, Star, and Fennel)",garlic
"ANISE (See also Anise, Star, and Fennel)",ginger
"ANISE (See also Anise, Star, and Fennel)",hazelnuts
"ANISE (See also Anise, Star, and Fennel)",lemon
"ANISE (See also Anise, Star, and Fennel)",lentils
"ANISE (See also Anise, Star, and Fennel)",mayonnaise
"ANISE (See also Anise, Star, and Fennel)",Mediterranean cuisine
"ANISE (See also Anise, Star, and Fennel)",melon
"ANISE (See also Anise, Star, and Fennel)",Middle Eastern cuisine
"ANISE (See also Anise, Star, and Fennel)",mole sauce
"ANISE (See also Anise, Star, and Fennel)",Moroccan cuisine
"ANISE (See also Anise, Star, and Fennel)",mussels
"ANISE (See also Anise, Star, and Fennel)",nutmeg
"ANISE (See also Anise, Star, and Fennel)",nuts
"ANISE (See also Anise, Star, and Fennel)",orange
"ANISE (See also Anise, Star, and Fennel)",parsnips
"ANISE (See also Anise, Star, and Fennel)",peaches
"ANISE (See also Anise, Star, and Fennel)",pears
"ANISE (See also Anise, Star, and Fennel)",pepper
"ANISE (See also Anise, Star, and Fennel)",pickles
"ANISE (See also Anise, Star, and Fennel)",pineapple
"ANISE (See also Anise, Star, and Fennel)",plums
"ANISE (See also Anise, Star, and Fennel)",pork
"ANISE (See also Anise, Star, and Fennel)",Portuguese cuisine
"ANISE (See also Anise, Star, and Fennel)",Provencal cuisine (French)
"ANISE (See also Anise, Star, and Fennel)",prunes
"ANISE (See also Anise, Star, and Fennel)",pumpkin
"ANISE (See also Anise, Star, and Fennel)",quince
"ANISE (See also Anise, Star, and Fennel)",raisins
"ANISE (See also Anise, Star, and Fennel)",rhubarb
"ANISE (See also Anise, Star, and Fennel)",salumi
"ANISE (See also Anise, Star, and Fennel)",sauerkraut
"ANISE (See also Anise, Star, and Fennel)",Scandinavian cuisine
"ANISE (See also Anise, Star, and Fennel)",shellfish
"ANISE (See also Anise, Star, and Fennel)","soups, esp. fish"
"ANISE (See also Anise, Star, and Fennel)",star anise
"ANISE (See also Anise, Star, and Fennel)","STEWS, ESP. FISH"
"ANISE (See also Anise, Star, and Fennel)",strawberries
"ANISE (See also Anise, Star, and Fennel)",sugar
"ANISE (See also Anise, Star, and Fennel)",sweet potatoes
"ANISE (See also Anise, Star, and Fennel)",tea
"ANISE (See also Anise, Star, and Fennel)",vanilla
"ANISE (See also Anise, Star, and Fennel)","vegetables, root"
"ANISE (See also Anise, Star, and Fennel)",Vietnamese cuisine
"ANISE (See also Anise, Star, and Fennel)",walnuts
ANISE HYSSOP,apricots
ANISE HYSSOP,basil
ANISE HYSSOP,"beans, green"
ANISE HYSSOP,beets
ANISE HYSSOP,"berries, esp. blueberries"
ANISE HYSSOP,beverages
ANISE HYSSOP,carrots
ANISE HYSSOP,cherries
ANISE HYSSOP,chervil
ANISE HYSSOP,chicken
ANISE HYSSOP,cream and ice cream
ANISE HYSSOP,currants
ANISE HYSSOP,custards
ANISE HYSSOP,desserts
ANISE HYSSOP,fennel bulb
ANISE HYSSOP,fish
ANISE HYSSOP,"FRUITS, ESP. SUMMER"
ANISE HYSSOP,honey
ANISE HYSSOP,lavender
ANISE HYSSOP,lemon
ANISE HYSSOP,lychees
ANISE HYSSOP,marjoram
ANISE HYSSOP,melons
ANISE HYSSOP,mint
ANISE HYSSOP,nectarines
ANISE HYSSOP,oranges
ANISE HYSSOP,parsley
ANISE HYSSOP,parsnips
ANISE HYSSOP,peaches
ANISE HYSSOP,pears
ANISE HYSSOP,plums
ANISE HYSSOP,pork
ANISE HYSSOP,raspberries
ANISE HYSSOP,rice
ANISE HYSSOP,"salads: fruit, green"
ANISE HYSSOP,"shellfish (e.g., shrimp)"
ANISE HYSSOP,shrimp
ANISE HYSSOP,spinach
ANISE HYSSOP,"squash, winter"
ANISE HYSSOP,"stone fruits (e.g., peaches)"
ANISE HYSSOP,sweet potatoes
ANISE HYSSOP,tarragon
ANISE HYSSOP,teas
ANISE HYSSOP,tomatoes
ANISE HYSSOP,"vegetables, root"
ANISE HYSSOP,watermelon
ANISE HYSSOP,zucchini
"ANISE, STAR",allspice
"ANISE, STAR","baked goods (e.g., breads,pastries)"
"ANISE, STAR",beef
"ANISE, STAR",beverages
"ANISE, STAR",cardamom
"ANISE, STAR",chestnuts
"ANISE, STAR",chicken
"ANISE, STAR",chile peppers
"ANISE, STAR",chili powder
"ANISE, STAR",CHINESE CUISINE
"ANISE, STAR","chocolate, esp. milk"
"ANISE, STAR",cinnamon
"ANISE, STAR",citrus zest
"ANISE, STAR",cloves
"ANISE, STAR",coriander
"ANISE, STAR",cumin
"ANISE, STAR",curry powder (ingredient)
"ANISE, STAR",duck
"ANISE, STAR",eggs
"ANISE, STAR",fennel seeds
"ANISE, STAR",figs
"ANISE, STAR",fish
"ANISE, STAR",FIVE-SPICE POWDER
"ANISE, STAR","fruits, esp. tropical"
"ANISE, STAR",garlic
"ANISE, STAR",ginger
"ANISE, STAR",Indian cuisine
"ANISE, STAR",kumquats
"ANISE, STAR",leeks
"ANISE, STAR",lemongrass
"ANISE, STAR","lime, zest"
"ANISE, STAR",liqueurs
"ANISE, STAR",mace
"ANISE, STAR",Malaysian cuisine
"ANISE, STAR",mangoes
"ANISE, STAR",maple syrup
"ANISE, STAR","meats, esp. fatty"
"ANISE, STAR",nutmeg
"ANISE, STAR","orange, zest"
"ANISE, STAR",oxtails
"ANISE, STAR","pears, esp. poached"
"ANISE, STAR","pepper: black, Szechuan"
"ANISE, STAR",pineapple
"ANISE, STAR","plums, esp. poached"
"ANISE, STAR",pork
"ANISE, STAR",poultry
"ANISE, STAR",pumpkin
"ANISE, STAR",raspberries
"ANISE, STAR",root vegetables
"ANISE, STAR",salmon
"ANISE, STAR",sauces
"ANISE, STAR",scallions
"ANISE, STAR",scallops
"ANISE, STAR",shellfish
"ANISE, STAR",shrimp
"ANISE, STAR",soups
"ANISE, STAR",soy sauce
"ANISE, STAR",stews
"ANISE, STAR","stocks: beef, chicken"
"ANISE, STAR",sweet potatoes
"ANISE, STAR",tamarind
"ANISE, STAR",teas
"ANISE, STAR",tuna
"ANISE, STAR",turmeric
"ANISE, STAR",vanilla
"ANISE, STAR","vegetables, esp. root"
"ANISE, STAR","Vietnamese cuisine (e.g., pho)"
"ANISE, STAR","wine, rice"
APPLES,allspice
APPLES,almonds
APPLES,apple cider or juice
APPLES,applejack
APPLES,"apricots: dried, jam, puree"
APPLES,Armagnac
APPLES,bacon
APPLES,bay leaf
APPLES,beef
APPLES,blackberries
APPLES,bourbon
APPLES,"brandy, esp. apple"
APPLES,brioche
APPLES,"BUTTER, UNSALTED"
APPLES,butterscotch
APPLES,"cabbage, red"
APPLES,CALVADOS
APPLES,CARAMEL
APPLES,cardamom
APPLES,celery
APPLES,celery root
APPLES,"cheese: Camembert, cheddar,"
APPLES,"goat, Gruyere"
APPLES,"cherries: dried, fresh"
APPLES,chestnuts
APPLES,chicken
APPLES,chives
APPLES,cider
APPLES,*CINNAMON
APPLES,cloves
APPLES,cognac
APPLES,Cointreau
APPLES,coriander
APPLES,cranberries
APPLES,CREAM AND ICE CREAM
APPLES,creme anglaise (sauce)
APPLES,creme fraiche
APPLES,"crust: pastry, pie"
APPLES,cumin
APPLES,"currants, esp. black, and currant"
APPLES,jelly
APPLES,curry powder
APPLES,custards
APPLES,dates
APPLES,duck
APPLES,eggplant
APPLES,fennel
APPLES,"French cuisine, esp. from"
APPLES,Normandy
APPLES,frisee
APPLES,ginger
APPLES,goose
APPLES,hazelnuts
APPLES,"honey, esp. chestnut, wildflower"
APPLES,horseradish
APPLES,ice cream
APPLES,Kirsch
APPLES,lavender
APPLES,"LEMON: JUICE, ZEST"
APPLES,lemon thyme
APPLES,lychees
APPLES,Madeira
APPLES,maple syrup
APPLES,mayonnaise
APPLES,meringue
APPLES,molasses
APPLES,mustard
APPLES,nutmeg
APPLES,nuts
APPLES,oatmeal and oats
APPLES,"oil: canola, hazelnut, walnut"
APPLES,olive oil
APPLES,"onions, esp. green, red"
APPLES,"orange: juice, zest"
APPLES,parsley
APPLES,peanuts and peanut butter
APPLES,pears
APPLES,pecans
APPLES,"pepper, black"
APPLES,pies
APPLES,pineapple
APPLES,pine nuts
APPLES,pistachios
APPLES,plums
APPLES,pomegranates
APPLES,pork
APPLES,poultry
APPLES,prunes
APPLES,puff pastry
APPLES,pumpkin
APPLES,quince
APPLES,"raisins, esp. seedless, white"
APPLES,rhubarb
APPLES,rice and rice pudding
APPLES,rosemary
APPLES,"RUM: DARK, LIGHT"
APPLES,"salads: fruit, green"
APPLES,"salt, kosher"
APPLES,sauerkraut
APPLES,sherry
APPLES,soups
APPLES,sour cream
APPLES,star anise
APPLES,"SUGAR: BROWN, WHITE"
APPLES,sweet potatoes
APPLES,tarragon
APPLES,tarts
APPLES,thyme
APPLES,vanilla
APPLES,verjus
APPLES,vermouth
APPLES,"vinegar apple cider, raspberry"
APPLES,WALNUTS
APPLES,"wine: red, dry white"
APPLES,yogurt
APRICOTS — IN GENERAL,allspice
APRICOTS — IN GENERAL,ALMONDS
APRICOTS — IN GENERAL,amaretto
APRICOTS — IN GENERAL,anise
APRICOTS — IN GENERAL,apples
APRICOTS — IN GENERAL,apricot brandy
APRICOTS — IN GENERAL,bananas
APRICOTS — IN GENERAL,blackberries
APRICOTS — IN GENERAL,blueberries
APRICOTS — IN GENERAL,brandy
APRICOTS — IN GENERAL,"butter, unsalted"
APRICOTS — IN GENERAL,caramel
APRICOTS — IN GENERAL,cardamom
APRICOTS — IN GENERAL,cayenne
APRICOTS — IN GENERAL,"cheese (e.g., Brie, Reblochon,"
APRICOTS — IN GENERAL,ricotta)
APRICOTS — IN GENERAL,cheesecake
APRICOTS — IN GENERAL,cherries
APRICOTS — IN GENERAL,chicken
APRICOTS — IN GENERAL,"chocolate, white"
APRICOTS — IN GENERAL,cinnamon
APRICOTS — IN GENERAL,coconut
APRICOTS — IN GENERAL,coffee and espresso
APRICOTS — IN GENERAL,cognac
APRICOTS — IN GENERAL,coriander
APRICOTS — IN GENERAL,cranberries
APRICOTS — IN GENERAL,CREAM AND ICE CREAM
APRICOTS — IN GENERAL,creme anglaise
APRICOTS — IN GENERAL,"custards (e.g., creme bailee)"
APRICOTS — IN GENERAL,duck
APRICOTS — IN GENERAL,foie gras
APRICOTS — IN GENERAL,game
APRICOTS — IN GENERAL,garlic
APRICOTS — IN GENERAL,ginger
APRICOTS — IN GENERAL,hazelnuts
APRICOTS — IN GENERAL,honey
APRICOTS — IN GENERAL,"ice cream, esp. vanilla"
APRICOTS — IN GENERAL,Kirsch
APRICOTS — IN GENERAL,lamb
APRICOTS — IN GENERAL,"LEMON: juice, zest"
APRICOTS — IN GENERAL,lemon verbena
APRICOTS — IN GENERAL,"liqueurs: apricot, nut"
APRICOTS — IN GENERAL,maple syrup
APRICOTS — IN GENERAL,mascarpone
APRICOTS — IN GENERAL,Mediterranean cuisine
APRICOTS — IN GENERAL,meringue
APRICOTS — IN GENERAL,Middle Eastern stews
APRICOTS — IN GENERAL,mint (garnish)
APRICOTS — IN GENERAL,Moroccan cuisine
APRICOTS — IN GENERAL,nectarines
APRICOTS — IN GENERAL,nutmeg
APRICOTS — IN GENERAL,nuts
APRICOTS — IN GENERAL,oats and oatmeal
APRICOTS — IN GENERAL,"onions, esp. yellow"
APRICOTS — IN GENERAL,"orange: juice, zest"
APRICOTS — IN GENERAL,orange liqueur
APRICOTS — IN GENERAL,peaches
APRICOTS — IN GENERAL,"pepper, black"
APRICOTS — IN GENERAL,pineapple
APRICOTS — IN GENERAL,pine nuts
APRICOTS — IN GENERAL,pistachios
APRICOTS — IN GENERAL,plums
APRICOTS — IN GENERAL,pork
APRICOTS — IN GENERAL,poultry
APRICOTS — IN GENERAL,praline
APRICOTS — IN GENERAL,prunes
APRICOTS — IN GENERAL,raisins
APRICOTS — IN GENERAL,raspberries
APRICOTS — IN GENERAL,rice pudding
APRICOTS — IN GENERAL,rosemary
APRICOTS — IN GENERAL,rum
APRICOTS — IN GENERAL,saffron
APRICOTS — IN GENERAL,"salads, esp. fruit, green"
APRICOTS — IN GENERAL,Sauternes
APRICOTS — IN GENERAL,sour cream
APRICOTS — IN GENERAL,strawberries
APRICOTS — IN GENERAL,"SUGAR: brown, white"
APRICOTS — IN GENERAL,"tea: apple, apricot, Earl Grey"
APRICOTS — IN GENERAL,•VANILLA
APRICOTS — IN GENERAL,"vinegar, red wine"
APRICOTS — IN GENERAL,walnuts
APRICOTS — IN GENERAL,"wine: sweet, white"
APRICOTS — IN GENERAL,yogurt
"APRICOTS, DRIED",allspice
"APRICOTS, DRIED","cherries, dried"
"APRICOTS, DRIED",cinnamon
"APRICOTS, DRIED",currants
"APRICOTS, DRIED",custard
"APRICOTS, DRIED",French toast
"APRICOTS, DRIED",ginger
"APRICOTS, DRIED",hazelnuts
"APRICOTS, DRIED",honey
"APRICOTS, DRIED",ice cream
"APRICOTS, DRIED","lemon: juice, zest"
"APRICOTS, DRIED",Madeira
"APRICOTS, DRIED",Moroccan cuisine
"APRICOTS, DRIED","orange: juice, zest"
"APRICOTS, DRIED",pancakes/crepes
"APRICOTS, DRIED",pistachios
"APRICOTS, DRIED",pork
"APRICOTS, DRIED",prunes
"APRICOTS, DRIED",pumpkin seeds
"APRICOTS, DRIED",raisins
"APRICOTS, DRIED",rice pudding
"APRICOTS, DRIED",sugar
"APRICOTS, DRIED",tamarind paste
"APRICOTS, DRIED",vanilla
"APRICOTS, DRIED","wine, sweet white (e.g., Muscat)"
ARGENTINIAN CUISINE(See also Latin American Cuisine),beef
ARGENTINIAN CUISINE(See also Latin American Cuisine),corn
ARGENTINIAN CUISINE(See also Latin American Cuisine),peaches
ARGENTINIAN CUISINE(See also Latin American Cuisine),pumpkin
ARGENTINIAN CUISINE(See also Latin American Cuisine),sweet potatoes
ARTICHOKES,aioli
ARTICHOKES,anchovies
ARTICHOKES,arugula
ARTICHOKES,bacon
ARTICHOKES,basil
ARTICHOKES,bay leaf
ARTICHOKES,"beans, fava"
ARTICHOKES,beets
ARTICHOKES,"bell peppers, esp. roasted"
ARTICHOKES,bread crumbs
ARTICHOKES,butter
ARTICHOKES,capers
ARTICHOKES,carrots
ARTICHOKES,cashews
ARTICHOKES,celery
ARTICHOKES,"cheese: Emmental, goat, Gruyere,"
ARTICHOKES,Parmesan
ARTICHOKES,chervil
ARTICHOKES,chicken
ARTICHOKES,chives
ARTICHOKES,coriander
ARTICHOKES,cream
ARTICHOKES,creme fraiche
ARTICHOKES,"eggs: yolk, hard-boiled"
ARTICHOKES,French cuisine
ARTICHOKES,GARLIC
ARTICHOKES,grapefruit
ARTICHOKES,"ham (e.g., Serrano)"
ARTICHOKES,hazelnuts
ARTICHOKES,hollandaise sauce
ARTICHOKES,Italian cuisine
ARTICHOKES,leeks
ARTICHOKES,"LEMON: confit, juice, zest"
ARTICHOKES,lobster
ARTICHOKES,mayonnaise
ARTICHOKES,Mediterranean cuisine
ARTICHOKES,MINT
ARTICHOKES,Moroccan cuisine
ARTICHOKES,mushrooms
ARTICHOKES,"mustard, Dijon"
ARTICHOKES,"nuts: cashews, hazelnuts, walnuts"
ARTICHOKES,"oil: hazelnut, peanut"
ARTICHOKES,OLIVE OIL
ARTICHOKES,"olives: black, rtitjoise"
